"ID";"Bezeichner";"Footprint";"Stückzahl";"Bezeichnung";"Anbieter und Referenz";
1;"R12";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"8k2";;;
2;"H1,H4,H2,H3";"MountingHole_3.2mm_M3_ISO14580_Pad_TopBottom";4;"MountingHole";;;
3;"R11";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"1k8";;;
4;"C9";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"82p";;;
5;"J1";"PinSocket_1x08_P2.54mm_Vertical";1;"MCU";;;
6;"R5,R6";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";2;"1k";;;
7;"V1";"VFD HCS-12SS59T";1;"~";;;
8;"R10";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"47k";;;
9;"C8,C6";"CP_EIA-7343-31_Kemet-D_Pad2.25x2.55mm_HandSolder";2;"100uF";;;
10;"R9";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"180";;;
11;"C4,C5,C3,C1";"C_2220_5750Metric_Pad1.97x5.40mm_HandSolder";4;"1u";;;
12;"D3";"D_2010_5025Metric_Pad1.52x2.65mm_HandSolder";1;"D";;;
13;"U1";"SOIC127P599X175-8N";1;"MC34063AD";;;
14;"R3";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"2k2";;;
15;"TP1";"TestPoint_Pad_D2.5mm";1;"Vee";;;
16;"R2,R1,R4";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";3;"10k";;;
17;"TP2";"TestPoint_Pad_D2.5mm";1;"F-";;;
18;"D2";"D_SOD-123";1;"1N5819";;;
19;"TP3";"TestPoint_Pad_D2.5mm";1;"F+";;;
20;"C2";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"10n";;;
21;"L1";"IND_TAIYO_NRS8040_TAY";1;"100uH";;;
22;"R7";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"100k";;;
23;"C7";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"270pF";;;
24;"U2";"SOIC127P599X175-8N";1;"LM4871MX_NOPB";;;
25;"R8";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"1";;;
26;"D1";"D_2010_5025Metric_Pad1.52x2.65mm_HandSolder";1;"2V7";;;
